Admin 1,Admin 2,Admin 3,Facility,HF_Type,Catchment,Latitude,Longitude
Azad Kashmir,Muzaffarabad,Muzaffarabad,Hatian Dupatta,BHU,"8,115",34.255599,73.646511
Azad Kashmir,Muzaffarabad,Muzaffarabad,Hatian Dupatta,BHU,"10,804",34.216932,73.637723
Azad Kashmir,Muzaffarabad,Muzaffarabad,Langer Pura,BHU,"10,935",34.243296,73.69543
Azad Kashmir,Muzaffarabad,Muzaffarabad,Tandali,BHU,"4,000",34.30221,73.53871
Azad Kashmir,Muzaffarabad,Muzaffarabad,Langer Pura,BHU,"17,630",34.290165,73.568298
Azad Kashmir,Muzaffarabad,Muzaffarabad,Hatian Dupatta,BHU,"8,748",34.28399,73.63556
Azad Kashmir,Muzaffarabad,Muzaffarabad,Langer Pura,BHU,"25,000",34.321508,73.539884
Azad Kashmir,Muzaffarabad,Pattika,Panjgran,BHU,"19,110",34.487307,73.619854
Azad Kashmir,Muzaffarabad,Muzaffarabad,Gojra,BHU,"8,220",34.371014,73.408944
Azad Kashmir,Muzaffarabad,Muzaffarabad,Charak Pura,BHU,"7,000",34.286942,73.526995
Azad Kashmir,Muzaffarabad,Muzaffarabad,Charak Pura,BHU,"11,700",34.124951,73.636844
Azad Kashmir,Muzaffarabad,Muzaffarabad,Noora Sari,BHU,"9,604",34.397377,73.514692
Azad Kashmir,Muzaffarabad,Muzaffarabad,Her Kootli,BHU,"4,150",34.432529,73.468116
Azad Kashmir,Muzaffarabad,Pattika,Said Pur,BHU,"18,334",34.493752,73.490964
Azad Kashmir,Muzaffarabad,Muzaffarabad,Jand gran,BHU,"15,494",34.622934,73.767784
Azad Kashmir,Muzaffarabad,Muzaffarabad,Qomi kot,BHU,"44,145",34.204629,73.58851
Azad Kashmir,Muzaffarabad,Muzaffarabad,Danna,RHC,"38,285",34.303932,73.507368
Azad Kashmir,Muzaffarabad,Muzaffarabad,Ghari Dupatta,RHC,"48,486",34.230992,73.620733
Azad Kashmir,Muzaffarabad,Pattika,Kahori,RHC,"60,000",34.368084,73.692794
Azad Kashmir,Muzaffarabad,Pattika,Balgran,RHC,"40,000",34.141941,73.527874
Azad Kashmir,Poonch,Hajira,Kathera,FAP,"8,200",33.861312,73.689888
Azad Kashmir,Poonch,Hajira,Darikot,FAP,"6,000",33.84111,73.90692
Azad Kashmir,Poonch,Abbasspur,Taroti,FAP,"1,493",33.788154,74.008341
Azad Kashmir,Poonch,Abbasspur,Kalran,FAP,"8,389",33.830852,73.93512
Azad Kashmir,Poonch,Abbasspur,Andrinor,FAP,"5,824",0,0
Azad Kashmir,Poonch,Abbasspur,Marchakot,FAP,"6,969",33.88805,73.97295
Azad Kashmir,Poonch,Abbasspur,Kot Katran,FAP,"9,918",0,0
Azad Kashmir,Poonch,Hajira,Kanoyion Bangran,FAP,"10,950",0,0
Azad Kashmir,Poonch,Hajira,Darra Sher Khn,FAP,"8,574",33.624021,73.989047
Azad Kashmir,Poonch,Hajira,Numbal Bala,FAP,"4,450",33.90526,73.64757
