Admin 1,Admin 2,Admin 3,Facility,Facility Type,Catchment,Latitude,Longitude,UID
Azad Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,Bhu,"22,180",0,0,149-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,Rhc,"22,000",34.344124,73.459787,150-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Therian,Bhu,"12,716",34.232457,73.561854,151-fac1
Azad Kashmir,Muzaffarabad,Pattika,Kahori,Bhu,"17,655",34.470317,73.49448,152-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,Mchc/Chc,"9,326",0,0,153-fac1
Azad Kashmir,Muzaffarabad,Pattika,Panjkot,Bhu,"22,000",34.347872,73.722673,154-fac1
Azad Kashmir,Muzaffarabad,Pattika,Machiara,Bhu,"9,340",34.489651,73.578258,155-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chattar Klass,Bhu,"14,667",34.130224,73.499459,156-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chattar Klass,Bhu,"10,483",34.258821,73.490671,157-fac1
Azad Kashmir,Muzaffarabad,Pattika,Behri,Bhu,"26,997",34.525388,73.572985,158-fac1
Azad Kashmir,Muzaffarabad,Pattika,Kahori,Bhu,"52,200",34.458893,73.440287,159-fac1
Azad Kashmir,Muzaffarabad,Pattika,Machiara,Bhu,"12,732",34.512206,73.622783,160-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chattar Klass,Bhu,"7,881",34.249154,73.478075,161-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Kaimanja,Bhu,"10,370",34.232457,73.697188,162-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Hatian Dupatta,Bhu,"8,115",34.255599,73.646511,163-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Hatian Dupatta,Bhu,"10,804",34.216932,73.637723,164-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Langer Pura,Bhu,"10,935",34.243296,73.69543,165-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Tandali,Bhu,"4,000",34.30221,73.53871,166-fac1
