Admin 1,Admin 2,Admin 2,Facility,HF_Type,Latitude,Longitude,ID,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Chattar Klass,CD/GD,34.368670,73.567126,139,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Muzaffarabad,MCHC/CHC,0.000000,0.000000,140,
Azad Kashmir,Muzaffarabad,Pattika,Sarli Sucha,BHU,34.483206,73.648854,141,
Azad Kashmir,Muzaffarabad,Katkair,katkair,BHU,34.066365,73.645632,142,
Azad Kashmir,Muzaffarabad,Kacheli,kachci,CD/GD,34.090093,73.600814,143,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Chattar Klass,BHU,34.203050,73.501380,144,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Gojra,BHU,34.360590,73.467990,145,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Gojra,BHU,34.394448,73.436186,146,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Muzaffarabad,BHU,34.365280,73.528580,147,
Azad Kashmir,Muzaffarabad,Pattika,Panjgran,BHU,0.000000,0.000000,148,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Muzaffarabad,BHU,0.000000,0.000000,149,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Muzaffarabad,RHC,34.344124,73.459787,150,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Therian,BHU,34.232457,73.561854,151,
Azad Kashmir,Muzaffarabad,Pattika,Kahori,BHU,34.470317,73.494480,152,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Muzaffarabad,MCHC/CHC,0.000000,0.000000,153,
Azad Kashmir,Muzaffarabad,Pattika,Panjkot,BHU,34.347872,73.722673,154,
Azad Kashmir,Muzaffarabad,Pattika,Machiara,BHU,34.489651,73.578258,155,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Chattar Klass,BHU,34.130224,73.499459,156,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Chattar Klass,BHU,34.258821,73.490671,157,
Azad Kashmir,Muzaffarabad,Pattika,Behri,BHU,34.525388,73.572985,158,
Azad Kashmir,Muzaffarabad,Pattika,Kahori,BHU,34.458893,73.440287,159,
Azad Kashmir,Muzaffarabad,Pattika,Machiara,BHU,34.512206,73.622783,160,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Chattar Klass,BHU,34.249154,73.478075,161,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Kaimanja,BHU,34.232457,73.697188,162,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Hatian Dupatta,BHU,34.255599,73.646511,163,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Hatian Dupatta,BHU,34.216932,73.637723,164,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Langer Pura,BHU,34.243296,73.695430,165,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Tandali,BHU,34.302210,73.538710,166,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Langer Pura,BHU,34.290165,73.568298,167,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Hatian Dupatta,BHU,34.283990,73.635560,168,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Langer Pura,BHU,34.321508,73.539884,169,
Azad Kashmir,Muzaffarabad,Pattika,Panjgran,BHU,34.487307,73.619854,170,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Gojra,BHU,34.371014,73.408944,171,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Charak Pura,BHU,34.286942,73.526995,172,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Charak Pura,BHU,34.124951,73.636844,173,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Noora Sari,BHU,34.397377,73.514692,174,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Her Kootli,BHU,34.432529,73.468116,175,
Azad Kashmir,Muzaffarabad,Pattika,Said Pur,BHU,34.493752,73.490964,176,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Jand gran,BHU,34.622934,73.767784,177,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Qomi kot,BHU,34.204629,73.588510,178,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Danna,RHC,34.303932,73.507368,179,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Ghari Dupatta,RHC,34.230992,73.620733,180,
Azad Kashmir,Muzaffarabad,Pattika,Kahori,RHC,34.368084,73.692794,181,
Azad Kashmir,Muzaffarabad,Pattika,Balgran,RHC,34.141941,73.527874,182,
Azad Kashmir,Poonch,Hajira,Kathera,FAP,33.861312,73.689888,183,
Azad Kashmir,Poonch,Hajira,Darikot,FAP,33.841110,73.906920,184,
Azad Kashmir,Poonch,ABBASSPUR,Taroti,FAP,33.788154,74.008341,185,
Azad Kashmir,Poonch,ABBASSPUR,Kalran,FAP,33.830852,73.935120,186,
Azad Kashmir,Poonch,ABBASSPUR,Andrinor,FAP,0.000000,0.000000,187,
Azad Kashmir,Poonch,ABBASSPUR,Marchakot,FAP,33.888050,73.972950,188,
Azad Kashmir,Poonch,ABBASSPUR,Kot Katran,FAP,0.000000,0.000000,189,
Azad Kashmir,Poonch,Hajira,Kanoyion Bangran,FAP,0.000000,0.000000,190,
Azad Kashmir,Poonch,Hajira,Darra Sher Khn,FAP,33.624021,73.989047,191,
Azad Kashmir,Poonch,Hajira,Numbal Bala,FAP,33.905260,73.647570,192,
Azad Kashmir,Poonch,Hajira,Kai darah Surari,FAP,33.806040,73.900140,193,
Azad Kashmir,Poonch,Hajira,Kot phagwati,FAP,33.737073,73.872491,194,
Azad Kashmir,Poonch,Hajira,Dotra,FAP,0.000000,0.000000,195,
Azad Kashmir,Poonch,Hajira,Sehra,FAP,0.000000,0.000000,196,
Azad Kashmir,Poonch,Hajira,Khrang,FAP,0.000000,0.000000,197,
Azad Kashmir,Poonch,Hajira,Nchorbn,FAP,0.000000,0.000000,198,
Azad Kashmir,Poonch,Hajira,Battle,FAP,33.809550,74.001910,199,
Azad Kashmir,Poonch,Hajira,Tahi,FAP,33.628528,73.955837,200,
Azad Kashmir,Poonch,RAWALAKOT,Bayrian,FAP,0.000000,0.000000,201,
Azad Kashmir,Poonch,RAWALAKOT,Pak gali,FAP,33.895788,73.712345,202,
Azad Kashmir,Poonch,RAWALAKOT,Ballari,FAP,33.877917,73.658418,203,
Azad Kashmir,Poonch,RAWALAKOT,Batha Morah,FAP,33.832372,73.671860,204,
Azad Kashmir,Poonch,RAWALAKOT,Poth Bongoin,FAP,33.939213,73.644600,205,
Azad Kashmir,Poonch,RAWALAKOT,Patola,FAP,0.000000,0.000000,206,
Azad Kashmir,Poonch,RAWALAKOT,Nar Tain,FAP,33.863052,73.631217,207,
Azad Kashmir,Poonch,RAWALAKOT,Qanchikot,FAP,0.000000,0.000000,208,
Azad Kashmir,Poonch,RAWALAKOT,Kahu Kot,FAP,33.875109,73.861203,209,
Azad Kashmir,Poonch,RAWALAKOT,Gahi Banjosa,FAP,0.000000,0.000000,210,
Azad Kashmir,Poonch,RAWALAKOT,Rar Ban,FAP,0.000000,0.000000,211,
Azad Kashmir,Poonch,RAWALAKOT,Mori Furman Shah,BHU,33.914167,73.719417,212,
Azad Kashmir,Poonch,RAWALAKOT,Bongoin,BHU,33.936361,73.662972,213,
Azad Kashmir,Poonch,RAWALAKOT,Pachiot,BHU,33.908612,73.657143,214,
Azad Kashmir,Poonch,RAWALAKOT,Rehara,BHU,33.830560,73.682780,215,
Azad Kashmir,Poonch,RAWALAKOT,Dhamni,BHU,33.864361,73.792028,216,
Azad Kashmir,Poonch,RAWALAKOT,Chotagala,BHU,33.815000,73.805139,217,
Azad Kashmir,Poonch,RAWALAKOT,Pothi Makwalaina,BHU,33.889278,73.734917,218,
Azad Kashmir,Poonch,RAWALAKOT,Khurichana,BHU,33.862524,73.899732,219,
Azad Kashmir,Poonch,RAWALAKOT,Rawlakot H/Q,BHU,33.854306,73.766444,220,
Azad Kashmir,Poonch,RAWALAKOT,Singola,BHU,33.893833,73.794000,221,
Azad Kashmir,Poonch,RAWALAKOT,Namnota,BHU,33.859472,73.849083,222,
Azad Kashmir,Poonch,RAWALAKOT,Khaigala,BHU,33.847056,73.829500,223,
Azad Kashmir,Poonch,ABBASSPUR,KAHALI DRAMMON,BHU,33.858167,73.965389,224,
Azad Kashmir,Poonch,ABBASSPUR,Chaffar,BHU,33.815830,74.013060,225,
Azad Kashmir,Poonch,Hajira,Sehra,BHU,33.640626,73.962479,226,
Azad Kashmir,Poonch,Hajira,Tanda Ghamir,BHU,33.783917,73.946583,227,
Azad Kashmir,Poonch,Hajira,Mandhol,BHU,33.677417,73.960278,228,
Azad Kashmir,Poonch,Hajira,Davi Gali,BHU,33.773130,73.854942,229,
Azad Kashmir,Poonch,Hajira,Sirani,BHU,0.000000,0.000000,230,
Azad Kashmir,Poonch,Hajira,Rakkar,BHU,33.705722,73.917111,231,
Azad Kashmir,Poonch,Hajira,Tatrinote,BHU,33.761208,73.664902,232,
Azad Kashmir,Poonch,Hajira,Pothi Chaprian,BHU,33.817220,73.875000,233,
Azad Kashmir,Poonch,RAWALAKOT,Jandala,BHU,33.956278,73.631333,234,
Azad Kashmir,Poonch,RAWALAKOT,Thorar,BHU,33.849170,73.641110,235,
Azad Kashmir,Poonch,RAWALAKOT,Khotara,BHU,33.861312,73.689888,236,
Azad Kashmir,Poonch,RAWALAKOT,Datote,BHU,33.903972,73.670389,237,
Azad Kashmir,Poonch,RAWALAKOT,Hurnamara,BHU,33.877127,73.704596,238,
Azad Kashmir,Poonch,RAWALAKOT,Bhalgran,BHU,33.849806,73.608060,239,
Azad Kashmir,Poonch,RAWALAKOT,Dahal Kot,BHU,33.916707,73.617469,240,
Azad Kashmir,Poonch,ABBASSPUR,Abbaspur,RHC,33.812361,73.978611,241,
Azad Kashmir,Poonch,RAWALAKOT,Tain,RHC,33.901222,73.611722,242,
Azad Kashmir,Poonch,Hajira,Hajira,RHC,33.770778,73.895750,243,
Azad Kashmir,Poonch,RAWALAKOT,Paniola,RHC,33.919639,73.687139,244,
Azad Kashmir,Poonch,RAWALAKOT,Ali SoJal,RHC,33.869611,73.878750,245,
Azad Kashmir,Poonch,RAWALAKOT,Banjosa,RHC,33.796222,73.796361,246,
Azad Kashmir,Sudhnoti,Mong,Kanchary,FAP,33.820195,73.644659,247,
Azad Kashmir,Sudhnoti,BALOOCH,Bathak,FAP,33.692574,73.804226,248,
Azad Kashmir,Sudhnoti,BALOOCH,Manghri,FAP,0.000000,0.000000,249,
Azad Kashmir,Sudhnoti,BALOOCH,Kahala,FAP,0.000000,0.000000,250,
Azad Kashmir,Sudhnoti,BALOOCH,Talawari,FAP,33.677392,73.769276,251,
Azad Kashmir,Sudhnoti,Palandri,Nakar,FAP,33.719458,73.723415,252,
Azad Kashmir,Sudhnoti,Palandri,Sehar Hawal Kot,FAP,33.687197,73.732429,253,
Azad Kashmir,Sudhnoti,Palandri,Numb Dhar,FAP,33.677234,73.660790,254,
Azad Kashmir,Sudhnoti,Palandri,Pir Gali,FAP,33.743179,73.737490,255,
Azad Kashmir,Sudhnoti,Palandri,Kot kotli,FAP,0.000000,0.000000,256,
Azad Kashmir,Sudhnoti,Palandri,Dana Panthal,FAP,33.596106,73.714875,257,
Azad Kashmir,Sudhnoti,Mong,Islam Nager,FAP,33.785245,73.574760,258,
Azad Kashmir,Sudhnoti,Palandri,Islam Pura,CD/GD,33.666322,73.670121,259,
Azad Kashmir,Sudhnoti,BALOOCH,Gala Kan,CD/GD,0.000000,0.000000,260,
Azad Kashmir,Sudhnoti,BALOOCH,Nallain,CD/GD,33.684983,73.753146,261,
Azad Kashmir,Sudhnoti,BALOOCH,Qillan,CD/GD,33.706806,73.798533,262,
Azad Kashmir,Sudhnoti,Palandri,Jail,CD/GD,33.724993,73.687358,263,
Azad Kashmir,Sudhnoti,Palandri,Nsary Grala,CD/GD,33.789832,73.734959,264,
Azad Kashmir,Sudhnoti,Palandri,Dhaman Pukhnar,CD/GD,33.608283,73.841864,265,
Azad Kashmir,Sudhnoti,Mong,Bathian,MCHC/CHC,0.000000,0.000000,266,
Azad Kashmir,Sudhnoti,Palandri,Azad Patan,MCHC/CHC,33.728472,73.607338,267,
Azad Kashmir,Sudhnoti,Mong,Dhingroon Bathaian,BHU,33.815135,73.611766,268,
Azad Kashmir,Sudhnoti,Mong,Challar,BHU,33.739226,73.681507,269,
Azad Kashmir,Sudhnoti,TRARLKHAL,Pothi Mir Khan,BHU,0.000000,0.000000,270,
Azad Kashmir,Sudhnoti,Palandri,Baitran,BHU,0.000000,0.000000,271,
Azad Kashmir,Sudhnoti,Palandri,Azad Patan,BHU,0.000000,0.000000,272,
Azad Kashmir,Sudhnoti,Palandri,Pona,BHU,0.000000,0.000000,273,
Azad Kashmir,Sudhnoti,Palandri,Kakrool,BHU,33.729737,73.656837,274,
Azad Kashmir,Sudhnoti,Palandri,Pura,BHU,33.719142,73.648297,275,
Azad Kashmir,Sudhnoti,Palandri,Gorah,BHU,33.761840,73.715982,276,
Azad Kashmir,Sudhnoti,Palandri,Baral,BHU,33.649559,73.691154,277,
Azad Kashmir,Sudhnoti,Palandri,Tahlian,BHU,33.613344,73.778607,278,
Azad Kashmir,Sudhnoti,Palandri,Thalian,BHU,0.000000,0.000000,279,
Azad Kashmir,Sudhnoti,Mong,Mong,RHC,33.805646,73.632324,280,
Azad Kashmir,Sudhnoti,TRARLKHAL,Trar Khel,SHC,33.700000,73.766600,281,
Azad Kashmir,Sudhnoti,Palandri,Chachan,RHC,33.664108,73.626947,282,
Azad Kashmir,Sudhnoti,BALOOCH,Blouch,RHC,33.647977,73.815612,283,
Azad Kashmir,Sudhnoti,Palandri,Palandri,SHC,33.716600,73.700000,284,
Azad Kashmir,Neelum,Sharda,Kel,SHC,34.821670,74.346670,285,
Azad Kashmir,Neelum,ATHMUQM,Athmuqam,RHC,34.585110,73.907293,286,
Azad Kashmir,Neelum,Sharda,Sharda,RHC,34.792004,74.189898,287,
Azad Kashmir,Neelum,ATHMUQM,Dawarian,CD/GD,34.736543,73.991096,288,
Azad Kashmir,Neelum,Sharda,Kail Domail,BHU,34.880000,74.340000,289,
Azad Kashmir,Neelum,ATHMUQM,Negdar,BHU,34.682500,73.801670,290,
Azad Kashmir,Neelum,ATHMUQM,Ashkot,BHU,34.475883,73.829886,291,
Azad Kashmir,Neelum,ATHMUQM,Mirpura,BHU,34.445790,73.816280,292,
Azad Kashmir,Neelum,Sharda,Janwai,BHU,34.794444,74.537500,293,
Azad Kashmir,Neelum,Sharda,Sargan,BHU,34.800000,74.183333,294,
Azad Kashmir,Neelum,ATHMUQM,Katha Chogali,CD/GD,34.429307,73.771592,295,
Azad Kashmir,Neelum,ATHMUQM,Chelana,BHU,34.400440,73.773220,296,
Azad Kashmir,Neelum,ATHMUQM,Laswa,BHU,34.462500,73.793900,297,
Azad Kashmir,Neelum,ATHMUQM,Dudnial,BHU,34.700000,74.100000,298,
Azad Kashmir,Neelum,ATHMUQM,Changan,BHU,34.719444,74.062500,299,
Azad Kashmir,Neelum,Sharda,Halmat,BHU,34.750000,74.650000,300,
